Region,Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Park Accepted,Sens?,Record Status,Occurrence,Occurrence Tags,Nativeness,Nativeness Tags,Abundance,NPS Tags,Park Tags,Internal Park Tags,References,Observations,Vouchers,ExternalLinks,T&E,State Status,Ozone,GRank,SRank
,YELL,Yellowstone National Park,Mammal,1,Rodentia,Sciuridae,90648,180190,Active,Tamias amoenus,Yellow-pine Chipmunk,,Undecided,No,In Review,,,,,,,,,2,,30,,,ID: Protected Nongame; WY: NSS4(Bc),,,
,YELL,Yellowstone National Park,Mammal,1,Rodentia,Sciuridae,90653,180195,Active,Tamias minimus,Least Chipmunk,,Undecided,No,In Review,,,,,,,,,3,,1,,,ID: Protected Nongame,,,
,YELL,Yellowstone National Park,Mammal,1,Rodentia,Sciuridae,90669,180209,Active,Tamias umbrinus,Uinta Chipmunk,,Undecided,No,In Review,,,,,,,,,2,,,,,"ID: Protected Nongame; WY: NSS4(Bc),SOPC",,,
,YELL,Yellowstone National Park,Mammal,1,Rodentia,Sciuridae,89697,180166,Active,Tamiasciurus hudsonicus,Red Squirrel,,Accepted,No,Approved,Present,,Native,,Abundant,Breeder,,,3,5,7,,,ID: Upland Game Animal,,G5,ID: S5; MT: S5; WY: S5
,YELL,Yellowstone National Park,Mammal,1,Soricomorpha,Soricidae,88122,179929,Active,Sorex cinereus,"Cinereus Shrew, common shrew, masked shrew",,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,2,,,,,,,G5,ID: S5; MT: S5; WY: S5
,YELL,Yellowstone National Park,Mammal,1,Soricomorpha,Soricidae,88660,179946,Active,Sorex hoyi,"American Pygmy Shrew, Pygmy Shrew",,Accepted,No,Approved,Unconfirmed,,Unknown,,,,,,2,,,,,WY: NSSU,,G5,
,YELL,Yellowstone National Park,Mammal,1,Soricomorpha,Soricidae,88665,179950,Active,Sorex monticolus,dusky shrew,,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,2,,,,,,,,
,YELL,Yellowstone National Park,Mammal,1,Soricomorpha,Soricidae,88666,179951,Active,Sorex nanus,"Dwarf Shrew, Rocky Mountain dwarf shrew",,Accepted,No,Approved,Present,,Native,,Rare,Breeder,,,2,,,,,"MT: SOC; WY: NSS3(Bb),SOPC",,G4,ID: S2; MT: S2S3; WY: S4S5
,YELL,Yellowstone National Park,Mammal,1,Soricomorpha,Soricidae,88127,179933,Active,Sorex palustris,"American Water Shrew, northern water shrew, Water Shrew",,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,2,,,,,,,G5,ID: S4; WY: S4
,YELL,Yellowstone National Park,Mammal,1,Soricomorpha,Soricidae,88669,179954,Active,Sorex preblei,"malheur shrew, Preble's Shrew",,Accepted,No,Approved,Present,,Native,,Rare,Breeder,,,2,,,,SC,"MT: SOC; WY: NSSU,SOC",,G4,MT: S3; WY: S2S3
,YELL,Yellowstone National Park,Bird,2,,,773797,,Active,Geothlypis tolomiei,,Oporornis tolmiei,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,2,1,5,,,,,,
,YELL,Yellowstone National Park,Bird,2,,,926907,,Inactive,Streptopelia decaocto,Eurasian Collared-dove,,Accepted,No,Approved,Present,,Non-native,,Occasional,Summer,,,,,,,,,,G5,ID: SNA; MT: SNA; WY: SNA
,YELL,Yellowstone National Park,Bird,2,Accipitriformes,Accipitridae,79517,175309,Active,Accipiter cooperii,Cooper's Hawk,,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,3,3,5,,SC,ID: Protected Nongame,,G5,ID: S4; MT: S4B; WY: S4
,YELL,Yellowstone National Park,Bird,2,Accipitriformes,Accipitridae,79508,175300,Active,Accipiter gentilis,Northern Goshawk,,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,3,11,1,,RT,"ID: Protected Nongame; WY: NSSU,SOC",,G5,"ID: S3; MT: S3; WY: S2S3B,S3N"
,YELL,Yellowstone National Park,Bird,2,Accipitriformes,Accipitridae,79512,175304,Active,Accipiter striatus,Sharp-shinned Hawk,,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,3,4,3,,SC,ID: Protected Nongame,,G5,ID: S4; MT: S4B; WY: S4
,YELL,Yellowstone National Park,Bird,2,Accipitriformes,Accipitridae,80429,175407,Active,Aquila chrysaetos,Golden Eagle,,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,4,55,1,,SC,ID: Protected Nongame; WY: SOPC,,G5,"ID: S3; MT: S3; WY: S5B,S4S5N"
,YELL,Yellowstone National Park,Bird,2,Accipitriformes,Accipitridae,79563,175350,Active,Buteo jamaicensis,Red-tailed Hawk,,Accepted,No,Approved,Present,,Native,,Abundant,Breeder,,,4,11,5,,50,ID: Protected Nongame,,G5,ID: S4; MT: S5B; WY: S5B
,YELL,Yellowstone National Park,Bird,2,Accipitriformes,Accipitridae,80391,175373,Active,Buteo lagopus,Rough-legged Hawk,,Accepted,No,Approved,Present,,Native,,Common,Migratory,,,3,,1,,SC,ID: Protected Nongame,,G5,ID: S4N; MT: S5N; WY: S5N
,YELL,Yellowstone National Park,Bird,2,Accipitriformes,Accipitridae,79572,175359,Active,Buteo lineatus,Red-shouldered Hawk,,Accepted,No,Approved,Present,,Native,,Unknown,Vagrant,,,3,,,,SC,,,G5,
,YELL,Yellowstone National Park,Bird,2,Accipitriformes,Accipitridae,79579,175365,Active,Buteo platypterus,Broad-winged Hawk,,Accepted,No,Approved,Present,,Native,,Rare,Migratory,,,3,,,,,ID: Protected Nongame,,G5,ID: SNA; MT: SNA
,YELL,Yellowstone National Park,Bird,2,Accipitriformes,Accipitridae,80395,175377,Active,Buteo regalis,Ferruginous Hawk,,Accepted,No,Approved,Present,,Native,,Uncommon,Migratory,,,3,,1,,RT,"ID: Protected Nongame; MT: SOC; WY: NSS4(Cb),SOC",,G4,"ID: S3B; MT: S3B; WY: S4S5B,S3N"
,YELL,Yellowstone National Park,Bird,2,Accipitriformes,Accipitridae,79581,175367,Active,Buteo swainsoni,Swainson's Hawk,,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,4,18,3,,"RT,SC",ID: Protected Nongame; WY: NSSU,,G5,ID: S5B; MT: S4B; WY: S5B
,YELL,Yellowstone National Park,Bird,2,Accipitriformes,Accipitridae,80455,175430,Active,Circus cyaneus,Northern Harrier,,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,3,8,3,,SC,ID: Protected Nongame,,,
,YELL,Yellowstone National Park,Bird,2,Accipitriformes,Accipitridae,80444,175420,Active,Haliaeetus leucocephalus,Bald Eagle,,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,5,5,3,,DM,"ID: Protected Nongame; WY: NSS3(Bb),SOC",,G5,"ID: S5; MT: S4; WY: S4B,S5N"
,YELL,Yellowstone National Park,Bird,2,Accipitriformes,Cathartidae,79468,175265,Active,Cathartes aura,Turkey Vulture,,Accepted,No,Approved,Present,,Native,,Uncommon,Summer,,,3,25,,,SC,ID: Protected Nongame,,G5,ID: S5B; MT: S4B; WY: S4?B
